date,refit_date,monthly_core_scale,monthly_approved_extra,daily_implied_extra,daily_actual_extra,daily_cap_binding,daily_reduction_vs_monthly,daily_total_scale,daily_btc_trend,daily_p_bad,daily_downside_semivol30,daily_downside_scaler
2023-04-27,2023-04-08,1.0,0.19941999369369875,0.28114397234127925,0.19941999369369875,False,0.0,1.1994199936936987,0.7583468673760374,0.2585346246261477,0.2704057845548176,1.0
2023-04-28,2023-04-08,1.0,0.19941999369369875,0.2753499675620547,0.19941999369369875,False,0.0,1.1994199936936987,0.7427185068500511,0.25853478801856317,0.27108054618753863,1.0
2023-04-29,2023-04-08,1.0,0.19941999369369875,0.2694840476146569,0.19941999369369875,False,0.0,1.1994199936936987,0.7268960724231059,0.2585348639556337,0.26834634357118614,1.0
2023-04-30,2023-04-08,1.0,0.19941999369369875,0.2444553972001433,0.19941999369369875,False,0.0,1.1994199936936987,0.659384682239046,0.2585348013543294,0.26834634357118614,1.0
2023-05-01,2023-04-08,1.0,0.19941999369369875,0.2041933680653876,0.19941999369369875,False,0.0,1.1994199936936987,0.5507836119294398,0.2585350629802451,0.3035253834392464,1.0
2023-05-02,2023-04-08,1.0,0.19941999369369875,0.2335961006509897,0.19941999369369875,False,0.0,1.1994199936936987,0.6300930798403526,0.25853462567728486,0.30154658673636536,1.0
2023-05-03,2023-04-08,1.0,0.19941999369369875,0.2370857992421164,0.19941999369369875,False,0.0,1.1994199936936987,0.6395060507356258,0.25853461755554663,0.2979632242672578,1.0
2023-05-04,2023-04-08,1.0,0.19941999369369875,0.23677555988648027,0.19941999369369875,False,0.0,1.1994199936936987,0.6386692220722603,0.2585346163441989,0.29882403783449674,1.0
2023-05-05,2023-04-08,1.0,0.19941999369369875,0.25336740729479756,0.19941999369369875,False,0.0,1.1994199936936987,0.6834234278879794,0.2585346157131526,0.29882403783449674,1.0
2023-05-06,2023-04-08,1.0,0.19941999369369875,0.23763923792522784,0.19941999369369875,False,0.0,1.1994199936936987,0.6409988726349162,0.2585346150504813,0.3085245636919954,1.0
2023-05-07,2023-04-08,1.0,0.19941999369369875,0.22857454259815296,0.19941999369369875,False,0.0,1.1994199936936987,0.6165481152317123,0.258534615705541,0.3122943739645662,1.0
