date,PRICE_ONLY,BINANCE_ALL_PERP_COMMON,HYPERLIQUID_ALL_PERP_NATIVE,BINANCE_COMMON_COMPOUNDED_SENSITIVITY,HYPERLIQUID_COMMON_COMPOUNDED_SENSITIVITY
2025-01-20,49476.9268140547,42505.1060962143,34981.8905459665,42505.1060962143,34978.5987858397
2025-01-21,51247.9467152804,44024.6344115708,36214.8198358379,44024.6344115708,36211.4101106448
2025-01-22,51379.1929186271,44127.1098965560,36293.1201134624,44127.1098965560,36289.7021085506
2025-01-23,51005.4136160499,43797.9038955929,36020.1045462283,43797.9038955929,36016.7119198045
2025-01-24,51267.2625368282,44013.2038308196,36195.7371642153,44013.2038308196,36192.3276440565
2025-01-25,51544.5976683022,44249.5251576789,36383.9457350967,44249.5251576789,36380.5181725003
2025-01-26,49422.1527306421,42417.3207875649,34876.9753436690,42417.3207875649,34873.6894163975
2025-01-27,49138.7386940125,42168.6385647461,34668.0924166320,42168.6385647461,34664.8257692834
2025-01-28,48779.0124715574,41850.0755057799,34404.0707207574,41850.0755057799,34400.8285078385
2025-01-29,49933.1824386460,42827.4695497279,35211.3001706235,42827.4695497279,35207.9816815091
2025-01-30,50409.5858620764,43224.3674864208,35536.9168650756,43224.3674864208,35533.5672505407
2025-01-31,49305.6411482976,42268.8025292882,34742.4434482672,42268.8025292882,34739.1673932344
2025-02-01,46855.8997922154,40166.5684852434,33009.8028155212,40166.5684852434,33006.6897148850
2025-02-02,45465.9096226274,38971.7671025844,32020.9518317732,38971.7671025844,32017.9315677822
2025-02-03,47154.2017557375,40408.8700287964,33196.2562310824,40408.8700287964,33193.1242378640
2025-02-04,45495.0132133816,38981.7431830055,32016.8348674143,38981.7431830055,32013.8135615671
2025-02-05,44959.5238964516,38520.6352230076,31630.0332240796,38520.6352230076,31627.0479619387
2025-02-06,44932.4958096111,38494.4555751815,31601.5360017065,38494.4555751815,31598.5530143786
2025-02-07,44910.3679595894,38467.7501904924,31576.4983883683,38467.7501904924,31573.5173499907
2025-02-08,44881.4877414537,38444.0274741508,31547.0421690712,38444.0274741508,31544.0635251106
2025-02-09,44889.8688682443,38444.9346049038,31545.1465995915,38444.9346049038,31542.1678532284
2025-02-10,45340.3695574252,38823.5978810446,31852.1662669721,38823.5978810446,31849.1581112816
2025-02-11,44571.3069390669,38161.6904587658,31302.3294338498,38161.6904587658,31299.3727798321
2025-02-12,45544.7415425787,38990.7888893301,31976.3755527947,38990.7888893301,31973.3548122202
2025-02-13,44957.5275036736,38482.3327917598,31554.3892511621,38482.3327917598,31551.4079388451
2025-02-14,45372.7865086873,38831.2956707117,31834.8127621329,38831.2956707117,31831.8043850025
2025-02-15,45404.9800873309,38856.0939556689,31847.8444104891,38856.0939556689,31844.8343838679
2025-02-16,44729.4919817460,38275.2119523377,31364.6340075498,38275.2119523377,31361.6692387984
2025-02-17,44572.1445863864,38134.9836957019,31244.9255558649,38134.9836957019,31241.9716925649
2025-02-18,44521.7647537186,38080.6483471885,31200.3379347603,38080.6483471885,31197.3878851159
2025-02-19,44974.3874827753,38458.6547518498,31508.0763958935,38458.6547518498,31505.0968354628
2025-02-20,45747.1776317051,39114.3867230623,32042.0198424528,39114.3867230623,32038.9894385765
2025-02-21,44759.2098472011,38268.7775982412,31341.0795968600,38268.7775982412,31338.1148088300
2025-02-22,44930.9415084740,38408.3912453765,31443.2063172074,38408.3912453765,31440.2296490290
2025-02-23,44794.5864856585,38288.4878687525,31347.1380098214,38288.4878687525,31344.1702915269
2025-02-24,42605.0136214249,36414.7642036019,29807.2205938086,36414.7642036019,29804.3983808799
2025-02-25,41268.2774146855,35266.3821243204,28862.6308037411,35266.3821243204,28859.8975844022
2025-02-26,39206.5900281485,33497.9967030863,27412.4813603349,33497.9967030863,27409.8851067503
2025-02-27,39419.9527611973,33674.1902535671,27553.8353689645,33674.1902535671,27551.2254035357
