date,symbol,selected
2024-09-11,TRXUSDT,True
2024-09-18,AAVEUSDT,True
2024-09-18,TRXUSDT,True
2024-09-19,AAVEUSDT,True
2024-09-19,TRXUSDT,True
2024-09-20,AAVEUSDT,True
2024-09-20,TRXUSDT,True
2024-09-21,BNBUSDT,True
2024-09-21,SUIUSDT,True
2024-09-22,BNBUSDT,True
2024-09-22,SUIUSDT,True
2024-09-23,BNBUSDT,True
2024-09-23,SUIUSDT,True
2024-09-24,BNBUSDT,True
2024-09-24,SUIUSDT,True
2024-09-25,BNBUSDT,True
2024-09-25,SUIUSDT,True
2024-09-26,BNBUSDT,True
2024-09-26,SUIUSDT,True
2024-09-27,BNBUSDT,True
2024-09-27,SUIUSDT,True
2024-09-28,BNBUSDT,True
2024-09-28,SUIUSDT,True
2024-09-29,BNBUSDT,True
2024-09-29,SUIUSDT,True
2024-09-30,BNBUSDT,True
2024-09-30,SUIUSDT,True
2024-10-01,BNBUSDT,True
2024-10-01,SUIUSDT,True
2024-10-02,SUIUSDT,True
2024-10-02,TRXUSDT,True
2024-10-03,SUIUSDT,True
2024-10-03,TRXUSDT,True
2024-10-04,SUIUSDT,True
2024-10-04,TRXUSDT,True
2024-10-05,BNBUSDT,True
2024-10-05,SUIUSDT,True
2024-10-06,BNBUSDT,True
2024-10-06,SUIUSDT,True
2024-10-07,BNBUSDT,True
2024-10-07,SUIUSDT,True
2024-10-08,BNBUSDT,True
2024-10-08,SUIUSDT,True
2024-10-11,BNBUSDT,True
2024-10-11,TRXUSDT,True
2024-10-12,BNBUSDT,True
2024-10-12,TRXUSDT,True
2024-10-13,BNBUSDT,True
2024-10-13,TRXUSDT,True
2024-10-14,BNBUSDT,True
2024-10-14,TRXUSDT,True
2024-10-15,BNBUSDT,True
2024-10-15,TRXUSDT,True
2024-10-16,BNBUSDT,True
2024-10-16,TRXUSDT,True
2024-10-17,SUIUSDT,True
2024-10-17,TRXUSDT,True
2024-10-18,DOGEUSDT,True
2024-10-18,SUIUSDT,True
2024-10-19,DOGEUSDT,True
2024-10-19,SUIUSDT,True
2024-10-20,DOGEUSDT,True
2024-10-20,SUIUSDT,True
2024-10-21,DOGEUSDT,True
2024-10-21,SUIUSDT,True
2024-10-22,DOGEUSDT,True
2024-10-22,SUIUSDT,True
2024-10-23,DOGEUSDT,True
2024-10-23,SUIUSDT,True
2024-10-24,DOGEUSDT,True
2024-10-24,SUIUSDT,True
2024-10-25,DOGEUSDT,True
2024-10-25,SUIUSDT,True
2024-10-26,DOGEUSDT,True
2024-10-26,SUIUSDT,True
2024-10-27,DOGEUSDT,True
2024-10-27,SUIUSDT,True
2024-10-28,DOGEUSDT,True
2024-10-28,SUIUSDT,True
2024-10-29,DOGEUSDT,True
2024-10-29,SUIUSDT,True
2024-10-30,DOGEUSDT,True
2024-10-30,SUIUSDT,True
2024-10-31,DOGEUSDT,True
2024-10-31,SUIUSDT,True
2024-11-01,DOGEUSDT,True
2024-11-01,SUIUSDT,True
2024-11-02,DOGEUSDT,True
2024-11-02,SUIUSDT,True
2024-11-03,DOGEUSDT,True
2024-11-03,SUIUSDT,True
2024-11-04,DOGEUSDT,True
2024-11-04,SUIUSDT,True
2024-11-05,DOGEUSDT,True
2024-11-05,SUIUSDT,True
2024-11-06,DOGEUSDT,True
2024-11-06,SUIUSDT,True
2024-11-07,DOGEUSDT,True
2024-11-07,SUIUSDT,True
2024-11-08,DOGEUSDT,True
2024-11-08,SUIUSDT,True
2024-11-09,DOGEUSDT,True
2024-11-09,SUIUSDT,True
2024-11-10,DOGEUSDT,True
2024-11-10,SUIUSDT,True
2024-11-11,DOGEUSDT,True
2024-11-11,SUIUSDT,True
2024-11-12,DOGEUSDT,True
2024-11-12,SUIUSDT,True
2024-11-13,DOGEUSDT,True
2024-11-13,SUIUSDT,True
2024-11-14,DOGEUSDT,True
2024-11-14,SUIUSDT,True
2024-11-15,DOGEUSDT,True
2024-11-15,SUIUSDT,True
2024-11-16,DOGEUSDT,True
2024-11-16,SUIUSDT,True
2024-11-17,DOGEUSDT,True
2024-11-17,SUIUSDT,True
2024-11-18,DOGEUSDT,True
2024-11-18,SUIUSDT,True
2024-11-19,DOGEUSDT,True
2024-11-19,SUIUSDT,True
