date,PIT_ALPHA_0018_ELIGIBILITY_EXIT,PIT_ALPHA_0016_DAILY_TOP2,BTC_DYNAMIC_GROSS_1_0,FIXED_V1_GROSS_1_0
2025-04-10,24223.5627390932,18470.6935894440,17592.5188112896,42925.7919818883
2025-04-11,24650.7170330457,18796.4027414787,17902.7423747109,43682.7382892447
2025-04-12,24891.5754615190,18980.0595502926,18077.6673632195,44109.5557194092
2025-04-13,24696.0829660891,18830.9946905520,17935.6896764375,43763.1297917608
2025-04-14,24804.3378754491,18913.5400734042,18014.3105031855,43954.9648149675
2025-04-15,24681.6580558064,18819.9955612845,17925.2134922266,43737.5678748445
2025-04-16,24731.9985675436,18858.3806732290,17961.7736138422,43826.7746673533
2025-04-17,24851.2312504739,18949.2967113020,18048.3671195113,44038.0630480113
2025-04-18,24790.1074341808,18902.6892285825,18003.9755533517,43929.7475103013
2025-04-19,24868.1499470186,18962.1973759638,18060.6544320933,44068.0441228971
2025-04-20,24881.3435003811,18972.2575840405,18070.2363353921,44091.4239920452
2025-04-21,25182.7475466762,19202.0809938212,18289.1329696881,44625.5323531115
2025-04-22,25838.9033680840,19702.4059565318,19522.5996392116,47635.1942577265
2025-04-23,25815.5304500520,19684.5838875029,19574.4319034028,47761.6651181239
2025-04-24,25933.8107398359,19774.7737168769,19634.8927802389,47909.1898159770
2025-04-25,26309.4069713553,20063.6540979371,19772.4094661725,48244.7308898701
2025-04-26,26333.8567003681,20052.2523011391,19770.1781445491,48239.2864592641
2025-04-27,26447.4726569139,20138.7887468759,19586.5955312040,47791.3444018207
2025-04-28,26712.4524187729,20341.0596082083,19850.2341201739,48434.6232494896
2025-04-29,26430.4575008962,19825.9852815150,19692.6292718719,48050.0670067981
2025-04-30,26218.9474222842,19665.4443399684,19674.9082325366,48006.8276244010
2025-05-01,26689.5927967152,20017.8084463648,20159.1781486612,49188.4474882552
2025-05-02,26664.5483917926,19998.6084999222,20242.1695239873,49390.9466614408
2025-05-03,26287.8029983388,19716.0466684924,20026.8260947998,48865.5081301468
2025-05-04,25592.1383522126,19194.2930388905,19696.9749169813,48060.6703922480
2025-05-05,26074.3105422808,19555.9257474981,19792.2573645085,48293.1598137999
2025-05-06,26071.0107530815,19553.4508811940,20231.0714149388,49363.8672462918
2025-05-07,25991.5106529050,19493.8252180936,20272.1210472024,49464.0284565416
2025-05-08,28516.4753168972,21387.5673902603,21573.9551453182,52640.5070660052
2025-05-09,28316.4322400177,21264.6383159033,21513.4483049280,52492.8702169598
2025-05-10,29561.4712299158,22053.9276821895,21897.3568008038,53429.6079525175
2025-05-11,29173.1845926389,21494.7332756313,21752.8787256854,53077.0810707788
2025-05-12,28514.7003364644,20892.7731204796,21475.7017807980,52400.7685992083
2025-05-13,28904.9792113837,21050.9680571455,21749.8952731777,53069.8014388449
2025-05-14,28814.9219407384,21038.8163890575,21625.3967193000,51864.6399400714
2025-05-15,28758.6385307217,20873.9426060782,21678.8586004072,51966.9263644848
2025-05-16,28604.4908275520,20748.9771714524,21616.2207225114,51816.7755632718
2025-05-17,28491.2180233108,20575.0965321993,21545.7606834189,51647.8740666269
2025-05-18,29038.7668589008,20969.1247857809,22240.9824200675,53314.4072297118
2025-05-19,28425.5733117392,20526.4968505279,22057.0195627754,52873.4253295614
2025-05-20,28582.8174964653,20893.2938679188,22323.6604075251,53512.5966715718
2025-05-21,29342.0004758000,21230.4126268689,22907.3975438470,54911.8873509660
2025-05-22,30384.1482799343,22018.8535615821,23336.1581114571,55939.6798771172
2025-05-23,28353.8849216740,20748.2678207479,22421.5021893114,53747.1356186251
2025-05-24,28482.9624866851,20658.3164528286,22514.1835175304,53969.3043152200
2025-05-25,28514.7461521052,20857.3188681344,22773.7271716857,54591.4628067010
2025-05-26,28587.1055497425,20837.2762005526,22863.6903824589,54807.1158369613
2025-05-27,28681.9284815632,20896.9823496283,22759.9339269685,54558.3986797670
2025-05-28,28333.7383361685,20693.5639677896,22518.3348621613,53979.2556057710
2025-05-29,27339.7275030599,20024.4134490959,22060.3644559581,52881.4434554659
2025-05-30,26400.2850794191,19428.4220034389,21725.1919521330,52077.9931840872
2025-05-31,25803.3272374000,18984.0779007823,21851.8842210900,52381.6903451412
2025-06-01,25933.8195398492,19080.0839705561,22071.4751005213,52908.0770554409
2025-06-02,26000.1371456628,19128.8752982549,22116.4065638489,53015.7833738054
2025-06-03,26746.6258986189,19678.0835653824,22015.8926281709,52774.8389407859
2025-06-04,26652.8131249861,19320.2598750878,21873.8171933774,52434.2664136891
2025-06-05,26171.7921234589,18971.5743269132,21207.7259037286,50837.5625632126
2025-06-06,26525.3343008066,19115.8499010982,21788.4879445525,52229.7215678486
2025-06-07,27082.8860553986,19516.1071670610,22052.5088667220,52862.6126288570
2025-06-08,26925.4135369490,19402.6314267118,22090.5019226418,52953.6867197832
2025-06-09,27888.5353201573,20096.6633662021,23036.7285386564,55221.9098668090
2025-06-10,28488.4213128169,20636.7916761844,23039.1040186993,55227.6041885788
2025-06-11,28018.4708569390,20031.9623864261,22698.7083837333,54352.8549543687
2025-06-12,27117.6737036578,19380.8426472925,22077.4921475958,52344.6032753113
2025-06-13,26587.8094009049,19002.1517319768,22159.9883700897,52514.0252925070
2025-06-14,25873.0947530901,18491.3493571718,22023.7795561938,52191.2420410661
2025-06-15,25890.3686535443,18503.6949127039,22061.2544775045,52280.0489001978
2025-06-16,26087.9526193898,18644.9070164236,22312.0734134019,52874.4315200611
2025-06-17,25631.3821967892,18318.5988081853,21843.3788743399,51763.7343270977
2025-06-18,25478.8412572114,18209.5786916541,21913.4962760296,51929.8962827938
2025-06-19,25316.8088810953,18093.7751009926,21865.8216242267,51816.9184315072
2025-06-20,24604.7217946005,17584.8506288811,21581.5579350071,51143.2795145496
2025-06-21,24156.0641441484,17401.5112761700,21335.4481741465,50560.0565457140
2025-06-22,23684.3077362599,17584.6615531485,21093.9013406507,49987.6466548928
2025-06-23,24876.4321168481,18183.6266889873,22006.9171996181,52151.2821726348
2025-06-24,25105.6153360143,18171.3962612398,22163.4168333707,52522.1499541469
2025-06-25,25269.5064893530,18287.1770220099,22426.1570437843,53144.7832256356
2025-06-26,25083.8636494106,18330.4708829479,22343.9407811195,52949.9497796550
2025-06-27,25498.4653242708,18636.8686985921,22364.9440360639,52999.7226154053
2025-06-28,25293.8895436577,18487.3439364657,22417.0082072777,53123.1026081334
2025-06-29,25531.2435453812,18660.8263523268,22638.4982171919,53647.9824857046
2025-06-30,25204.4626633831,18421.9816880085,22385.6088321102,53048.6933821819
2025-07-01,24730.3760153242,18216.2534700728,22079.4581341572,52323.1873382653
2025-07-02,25515.0959745819,18677.0083364170,22741.4294179620,53891.9055234949
2025-07-03,25717.3582218581,18827.3127238988,22895.0270800526,54255.8963062149
